Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
152,42,-6
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
152,42,-7
152,42,-4
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
152,42,-6
152,42,-3
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
152,41,-6
152,41,-2
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
8,9,5,,
8,9,5,9
8,9,5,9
8,9,5,9
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
9,9,44,-9
9,9,44,-5
9,9,44,-9
9,9,44,-5
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
9,9,44,-4
9,9,44,-1
9,9,44,-4
9,9,44,0
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
30,31,44,-4
30,31,44,-1
30,31,44,-4
30,31,44,-1
Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
30,35,0,-6
30,35,0,-8
30,35,0,-9
30,35,0,-6
