Soil Temperature,Atmosphere Temperature,Humidity,Soil Moisture
30,33,39.4,291
30,33,42.2,291
30,33,42.5,290
30,33,41.6,290
30,33,41.5,290
30,33,42.5,291
30,33,45.4,290
30,32,44.1,290
30,32,43.7,290
30,32,43.2,291
30,32,42.9,289
30,32,45.7,290
30,32,45.4,290
30,32,43.2,290
30,32,41.7,290
30,32,40.7,290
30,32,41.3,289
30,32,41.4,290
30,32,42.4,290
30,32,43.1,290
30,32,44.2,290
30,32,44,290
30,32,44.3,290
30,32,41.5,290
30,32,40.6,290
30,32,42.6,290
30,32,43.2,290
30,32,44.3,290
30,32,42.6,290
30,32,42.4,290
30,32,46,290
30,32,45.1,290
30,32,43.4,290
30,32,43.7,290
30,32,44,290
30,32,46.1,290
30,32,46.4,290
30,32,42.5,290
30,32,43.4,290
30,32,41,290
30,32,41,290
30,32,42.1,290
30,32,42.2,290
30,32,41.2,290
30,32,41.1,290
30,32,40.6,290
30,32,42.3,290
29,32,40.7,277
28,32,40,467
27,32,40.5,486
28,33,39.8,496
85,33,40.8,414
85,33,42.2,406
85,33,42.1,406
85,33,41.4,405
85,33,42.3,405
85,33,43.1,404
85,32,41.5,404
85,32,41.1,402
85,32,44.2,402
85,32,43.3,402
85,32,42.2,402
85,32,44.5,401
85,32,43.3,401
85,32,43.8,401
85,32,43,488
85,32,44.3,490
85,32,44,493
85,32,41.5,493
85,32,43.3,493
85,32,43.5,494
85,32,43.9,431
27,32,42.5,368
27,32,44.6,372
27,32,44.2,371
27,32,43.9,371
27,32,42.3,377
27,32,43.5,383
27,32,44.1,384
27,32,42.3,366
27,32,45.8,368
27,32,43.9,369
27,32,44.2,371
27,32,43.8,372
27,32,44.8,373
27,32,47,373
27,32,42.9,375
27,32,43.9,376
27,32,44.7,378
27,32,45.2,380
27,32,45.1,379
27,32,43.5,379
27,32,43,378
27,32,45.4,378
27,32,43,378
27,32,42.2,378
27,32,43.3,377
27,32,44.1,378
28,32,44.3,380
28,32,46.9,380
28,32,44.5,382
28,32,42.2,383
28,32,40.9,383
28,32,42.6,383
28,32,42.7,382
28,32,41,381
28,32,40.8,381
28,32,42.7,380
28,32,40.4,380
28,32,40.5,380
28,32,44,381
28,32,40.5,380
28,32,41.6,381
28,32,42.9,381
28,32,43,382
28,32,44.1,382
28,32,43.5,382
28,32,42.7,383
28,32,43,383
28,32,42.7,383
28,32,42.4,383
28,32,44,385
28,32,43.8,385
28,32,43.7,384
28,32,43.2,383
28,32,42.7,382
28,32,46.4,382
28,32,43.9,382
28,32,45.6,434
28,32,43.6,611
27,32,42.9,626
27,32,43.5,549
28,32,43.3,632
28,32,42.6,361
29,32,44.7,326
29,32,44.8,288
29,32,44.3,287
29,32,44.5,287
29,32,43.3,287
29,32,47.6,287
29,32,45,287
29,32,45.5,286
29,32,45,286
29,32,45.7,286
29,32,46.7,286
29,32,47.1,286
29,32,44.7,285
29,32,47.5,285
29,32,47.1,286
29,32,46.9,285
29,32,46.5,285
29,32,45.9,285
29,32,44.6,285
29,32,43.4,285
29,32,44.5,285
29,32,44.2,286
29,32,45.7,285
29,32,45,285
29,32,46.4,285
29,32,48.1,285
29,32,49.1,285
29,32,48.8,286
29,32,52,285
29,32,47.5,285
29,32,46.2,285
29,32,45.5,285
29,32,44.8,286
29,32,44.4,285
29,32,44.4,285
29,32,45.9,285
29,32,45.8,285
29,32,45,285
29,32,45.7,285
29,32,47.2,285
29,32,46.6,285
29,32,45.5,285
29,32,45.1,285
29,32,46.9,285
29,32,48.6,285
29,32,46.9,285
29,32,46.5,285
29,32,45.9,285
29,32,47.3,281
29,32,48.5,280
29,32,48.9,280
28,32,45.7,281
